study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	sample_alias	sample_title
PRJNA255796	SAMN02929018	SRX658374	SRR1521788	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/008/SRR1521788/SRR1521788.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/008/SRR1521788	GSM1441269	H3K27Ac_LT_HSC.ucsc
PRJNA255796	SAMN02929018	SRX658374	SRR1521789	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/009/SRR1521789/SRR1521789.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/009/SRR1521789	GSM1441269	H3K27Ac_LT_HSC.ucsc
PRJNA255796	SAMN02929019	SRX658375	SRR1521790	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/000/SRR1521790/SRR1521790.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/000/SRR1521790	GSM1441270	H3K27Ac_ST_HSC.ucsc
PRJNA255796	SAMN02929019	SRX658375	SRR1521791	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/001/SRR1521791/SRR1521791.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/001/SRR1521791	GSM1441270	H3K27Ac_ST_HSC.ucsc
PRJNA255796	SAMN02929020	SRX658376	SRR1521792	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/002/SRR1521792/SRR1521792.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/002/SRR1521792	GSM1441271	H3K27Ac_MPP.ucsc
PRJNA255796	SAMN02929020	SRX658376	SRR1521793	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/003/SRR1521793/SRR1521793.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/003/SRR1521793	GSM1441271	H3K27Ac_MPP.ucsc
PRJNA255796	SAMN02929021	SRX658377	SRR1521794	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/004/SRR1521794/SRR1521794.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/004/SRR1521794	GSM1441272	H3K27Ac_CMP.ucsc
PRJNA255796	SAMN02929021	SRX658377	SRR1521795	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/005/SRR1521795/SRR1521795.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/005/SRR1521795	GSM1441272	H3K27Ac_CMP.ucsc
PRJNA255796	SAMN02929021	SRX658377	SRR1521796	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/006/SRR1521796/SRR1521796.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/006/SRR1521796	GSM1441272	H3K27Ac_CMP.ucsc
PRJNA255796	SAMN02929021	SRX658377	SRR1521797	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/007/SRR1521797/SRR1521797.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/007/SRR1521797	GSM1441272	H3K27Ac_CMP.ucsc
PRJNA255796	SAMN02929022	SRX658378	SRR1521798	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/008/SRR1521798/SRR1521798.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/008/SRR1521798	GSM1441273	H3K27Ac_GMP.ucsc
PRJNA255796	SAMN02929022	SRX658378	SRR1521799	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/009/SRR1521799/SRR1521799.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/009/SRR1521799	GSM1441273	H3K27Ac_GMP.ucsc
PRJNA255796	SAMN02929023	SRX658379	SRR1521800	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/000/SRR1521800/SRR1521800.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/000/SRR1521800	GSM1441274	H3K27Ac_MEP.ucsc
PRJNA255796	SAMN02929024	SRX658380	SRR1521801	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/001/SRR1521801/SRR1521801.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/001/SRR1521801	GSM1441275	H3K27Ac_EryA.ucsc
PRJNA255796	SAMN02929024	SRX658380	SRR1521802	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/002/SRR1521802/SRR1521802.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/002/SRR1521802	GSM1441275	H3K27Ac_EryA.ucsc
PRJNA255796	SAMN02929025	SRX658381	SRR1521803	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/003/SRR1521803/SRR1521803.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/003/SRR1521803	GSM1441276	H3K27Ac_EryB.ucsc
PRJNA255796	SAMN02929025	SRX658381	SRR1521804	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/004/SRR1521804/SRR1521804.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/004/SRR1521804	GSM1441276	H3K27Ac_EryB.ucsc
PRJNA255796	SAMN02929026	SRX658382	SRR1521805	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/005/SRR1521805/SRR1521805.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/005/SRR1521805	GSM1441277	H3K27Ac_GN.ucsc
PRJNA255796	SAMN02929026	SRX658382	SRR1521806	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/006/SRR1521806/SRR1521806.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/006/SRR1521806	GSM1441277	H3K27Ac_GN.ucsc
